group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,IL10RA,18.06441,,6.076972478221667e-73,1.3210809735264494e-71,1.0,1.0
0,SPI1,18.04682,,8.356701184618746e-73,1.7971400397029561e-71,1.0,1.0
0,IGLC1,17.92917,,6.981285501376433e-72,1.4853798939098793e-70,1.0,1.0
0,FBLN1,17.914934,,9.017728833634202e-72,1.8984692281335163e-70,1.0,1.0
0,PNRC1,17.477816,,2.114450464552887e-68,4.405105134485181e-67,1.0,1.0
0,IFI16,17.313116,,3.745783447205135e-67,7.723264839598216e-66,1.0,1.0
0,VSIR,17.294106,,5.2106045507000616e-67,1.063388683816339e-65,1.0,1.0
0,NKG7,17.251068,,1.098504311671051e-66,2.219200629638487e-65,1.0,1.0
0,CXCR4,17.189117,,3.2037300838991706e-66,6.344019968117169e-65,1.0,1.0
0,THY1,17.113506,,1.1769594562788009e-65,2.3077636397623548e-64,1.0,1.0
0,MS4A7,16.952919,,1.831291190916259e-64,3.521713828685114e-63,1.0,1.0
0,COL18A1,16.934301,,2.5132096537409637e-64,4.787066007125645e-63,1.0,1.0
0,IL7R,16.904968,,4.135518987766618e-64,7.802866014653997e-63,1.0,1.0
0,CD4,16.833454,,1.3876347573209534e-63,2.5937098267681374e-62,1.0,1.0
0,TNFRSF14,16.811289,,2.017382145933149e-63,3.735892862839165e-62,1.0,1.0
0,RNASE1,16.800318,,2.42739258661714e-63,4.453931351591083e-62,1.0,1.0
0,SAMHD1,16.792755,,2.7574005794305084e-63,5.0134555989645604e-62,1.0,1.0
0,IL2RG,16.747042,,5.951221260530569e-63,1.0722921190145169e-61,1.0,1.0
0,PCED1B-AS1,16.708652,,1.133680836560598e-62,2.0244300652867824e-61,1.0,1.0
0,ISG20,16.667164,,2.2711526413526445e-62,4.019739188234769e-61,1.0,1.0
0,HSPG2,16.57526,,1.0520698621268818e-61,1.8457366002225994e-60,1.0,1.0
0,GRK2,16.557108,,1.4227191639391318e-61,2.4742941981550118e-60,1.0,1.0
0,CD163,16.422024,,1.330523694569557e-60,2.294006369947512e-59,1.0,1.0
0,CD3D,16.357525,,3.8443734773720736e-60,6.571578593798416e-59,1.0,1.0
0,JCHAIN,16.197107,,5.285557384090602e-59,8.958571837441699e-58,1.0,1.0
0,CD3E,16.128551,,1.607452223684759e-58,2.7016003759407716e-57,1.0,1.0
0,IFI44L,16.088486,,3.0725814498332194e-58,5.120969083055366e-57,1.0,1.0
0,FOLR2,16.081825,,3.4214871335509195e-58,5.655350633968462e-57,1.0,1.0
0,FOS,16.056025,,5.1874559198411856e-58,8.504026098100305e-57,1.0,1.0
0,ID3,15.936758,,3.521577634466274e-57,5.726142495067112e-56,1.0,1.0
0,CPVL,15.881384,,8.527599140996032e-57,1.3754192162896825e-55,1.0,1.0
0,GIMAP7,15.778988,,4.340955818668347e-56,6.945529309869355e-55,1.0,1.0
0,CNN2,15.766974,,5.250512948735011e-56,8.33414753767462e-55,1.0,1.0
0,MMP2,15.761665,,5.710784323174918e-56,8.993361138858138e-55,1.0,1.0
0,MAN2B1,15.7313595,,9.221006381914647e-56,1.4407822471741635e-54,1.0,1.0
0,MYO1F,15.503034,,3.3089037350767067e-54,5.090621130887241e-53,1.0,1.0
0,ZFP36,15.449167,,7.642453175920012e-54,1.1667867444152691e-52,1.0,1.0
0,PPP1R18,15.443844,,8.300262095983112e-54,1.2576154690883502e-52,1.0,1.0
0,PLTP,15.417467,,1.2490889572509445e-53,1.8783292590239766e-52,1.0,1.0
0,ITGAL,15.412115,,1.3569652072512775e-53,2.025321204852653e-52,1.0,1.0
0,RARRES2,15.392582,,1.8355812058970282e-53,2.7193795642918934e-52,1.0,1.0
0,GIMAP4,15.257049,,1.4778227016609864e-52,2.1574054038846516e-51,1.0,1.0
0,CSK,15.241966,,1.8618205865281497e-52,2.6982907051132603e-51,1.0,1.0
0,MPEG1,15.236558,,2.022466456168174e-52,2.9100236779398185e-51,1.0,1.0
0,CXCL9,15.20045,,3.5120032858011704e-52,5.017147551144529e-51,1.0,1.0
0,KCTD12,15.112333,,1.3429816849392733e-51,1.904938560197551e-50,1.0,1.0
0,XIST,15.09004,,1.8832686111004402e-51,2.652491001549916e-50,1.0,1.0
0,FGL2,15.057847,,3.0661036578248787e-51,4.28825686409074e-50,1.0,1.0
0,FBLN2,15.028076,,4.807685125752608e-51,6.677340452434178e-50,1.0,1.0
0,JAK3,15.026963,,4.8890983048112886e-51,6.743583868705226e-50,1.0,1.0
0,CFD,15.006275,,6.679432233356327e-51,9.149907168981271e-50,1.0,1.0
0,PECAM1,14.968689,,1.1761781232073658e-50,1.6002423444998176e-49,1.0,1.0
0,SLCO2B1,14.94962,,1.566396339764213e-50,2.1167518104921797e-49,1.0,1.0
0,FERMT3,14.931876,,2.0443284676340937e-50,2.7440650572269714e-49,1.0,1.0
0,MAF,14.925637,,2.2448072358383457e-50,2.993076314451128e-49,1.0,1.0
0,CARD16,14.839985,,8.0773578668661975e-50,1.0628102456402891e-48,1.0,1.0
0,IL16,14.732421,,3.991489023290469e-49,5.1837519782993105e-48,1.0,1.0
0,LCK,14.697622,,6.6763521011800336e-49,8.614647872490367e-48,1.0,1.0
0,TNFRSF1B,14.640896,,1.5402468994743923e-48,1.9746755121466568e-47,1.0,1.0
0,FSTL1,14.63639,,1.6457841962583828e-48,2.0965403773992136e-47,1.0,1.0
0,MS4A4A,14.605027,,2.6087847113721506e-48,3.302259128319178e-47,1.0,1.0
0,GPSM3,14.497068,,1.2643631922757084e-47,1.5804539903446355e-46,1.0,1.0
0,NNMT,14.352803,,1.0231640667341988e-46,1.2554160328026979e-45,1.0,1.0
0,ADGRE5,14.34679,,1.1158379695786564e-46,1.3607780116812882e-45,1.0,1.0
0,COL6A3,14.329933,,1.4225831890824577e-46,1.724343259493888e-45,1.0,1.0
0,AKNA,14.223692,,6.53144121441553e-46,7.869206282428349e-45,1.0,1.0
0,IGFLR1,14.220931,,6.794250919297786e-46,8.136827448260821e-45,1.0,1.0
0,SPARCL1,14.145194,,1.9996466762706552e-45,2.3805317574650657e-44,1.0,1.0
0,CD27,14.084328,,4.741485943736674e-45,5.611225968919141e-44,1.0,1.0
0,CST7,14.031334,,1.0024783705402827e-44,1.1793863182826854e-43,1.0,1.0
0,AKR1B1,13.951329,,3.0879527164063646e-44,3.5906426934957734e-43,1.0,1.0
0,CCL21,13.949161,,3.1832953759427867e-44,3.680110261205534e-43,1.0,1.0
0,ISLR,13.883943,,7.926101045326642e-44,9.110460971639818e-43,1.0,1.0
0,EHBP1L1,13.868269,,9.862862091872557e-44,1.1271842390711495e-42,1.0,1.0
0,SIGLEC1,13.769745,,3.875778753006693e-43,4.4042940375076066e-42,1.0,1.0
0,ARHGAP30,13.716005,,8.143017926214521e-43,9.098344051636337e-42,1.0,1.0
0,JAML,13.636367,,2.4338864841036945e-42,2.704318315670772e-41,1.0,1.0
0,ETS1,13.602976,,3.844647784544311e-42,4.248229596181559e-41,1.0,1.0
0,TIGIT,13.591048,,4.5255428218734e-42,4.97312398008066e-41,1.0,1.0
0,TGFBR2,13.443276,,3.3717006919095763e-41,3.6648920564234527e-40,1.0,1.0
0,SELPLG,13.421701,,4.5123183240902977e-41,4.878181971989511e-40,1.0,1.0
0,GAS6,13.406732,,5.52192603172498e-41,5.93755487282256e-40,1.0,1.0
